symbol,name,tdx_api_mkt,code
SZ000037,深南电A,0,000037
SZ000034,神州数码,0,000034
SZ000032,深桑达A,0,000032
SZ000029,深深房A,0,000029
SZ000028,国药一致,0,000028
SZ000025,特力A,0,000025
SZ000021,深科技,0,000021
SZ000014,沙河股份,0,000014
SZ000011,深物业A,0,000011
SZ000009,中国宝安,0,000009
SZ000002,万科A,0,000002
SZ000001,平安银行,0,000001
SH689009,九号公司-WD,1,689009
SH688981,中芯国际,1,688981
SH688819,天能股份,1,688819
SH688800,瑞可达,1,688800
SH688798,艾为电子,1,688798
SH688793,倍轻松,1,688793
SH688789,宏华数科,1,688789
SH688779,长远锂科,1,688779
SH688778,厦钨新能,1,688778
SH688777,中控技术,1,688777
SH688772,珠海冠宇,1,688772
SH688766,普冉股份,1,688766
SH688739,成大生物,1,688739
SH688733,壹石通,1,688733
SH688722,同益中,1,688722
SH688711,宏微科技,1,688711
SH688707,振华新材,1,688707
SH688700,东威科技,1,688700
SH688699,明微电子,1,688699
SH688697,纽威数控,1,688697
SH688696,极米科技,1,688696
SH688690,纳微科技,1,688690
SH688687,凯因科技,1,688687
SH688680,海优新材,1,688680
SH688678,福立旺,1,688678
SH688677,海泰新光,1,688677
SH688676,金盘科技,1,688676
SH688670,金迪克,1,688670
SH688668,鼎通科技,1,688668
SH688667,菱电电控,1,688667
SH688663,新风光,1,688663
SH688659,元琛科技,1,688659
SH688658,悦康药业,1,688658
SH688639,华恒生物,1,688639
SH688636,智明达,1,688636
SH688630,芯碁微装,1,688630
SH688628,优利德,1,688628
SH688626,翔宇医疗,1,688626
SH688617,惠泰医疗,1,688617
SH688608,恒玄科技,1,688608
SH688606,奥泰生物,1,688606
SH688601,力芯微,1,688601
SH688599,天合光能,1,688599
SH688598,金博股份,1,688598
SH688596,正帆科技,1,688596
SH688595,芯海科技,1,688595
SH688589,力合微,1,688589
SH688588,凌志软件,1,688588
SH688578,艾力斯-U,1,688578
SH688575,亚辉龙,1,688575
SH688567,孚能科技,1,688567
SH688566,吉贝尔,1,688566
SH688561,奇安信-U,1,688561
SH688560,明冠新材,1,688560
SH688559,海目星,1,688559
SH688556,高测股份,1,688556
SH688536,思瑞浦,1,688536
SH688533,上声电子,1,688533
SH688526,科前生物,1,688526
SH688521,芯原股份-U,1,688521
SH688520,神州细胞-U,1,688520
SH688518,联赢激光,1,688518
SH688516,奥特维,1,688516
SH688513,苑东生物,1,688513
SH688508,芯朋微,1,688508
SH688506,C百利-U,1,688506
SH688503,聚和材料,1,688503
SH688501,青达环保,1,688501
SH688500,慧辰股份,1,688500
SH600779,水井坊,1,600779
SH600773,西藏城投,1,600773
SH600771,广誉远,1,600771
SH600766,园城黄金,1,600766
SH600765,中航重机,1,600765
SH600764,中国海防,1,600764
SH600763,通策医疗,1,600763
SH600761,安徽合力,1,600761
SH600760,中航沈飞,1,600760
SH600756,浪潮软件,1,600756
SH600754,锦江酒店,1,600754
SH600753,东方银星,1,600753
SH600750,江中药业,1,600750
SH600749,西藏旅游,1,600749
SH600745,闻泰科技,1,600745
SH600741,华域汽车,1,600741
SH600739,辽宁成大,1,600739
SH600732,爱旭股份,1,600732
SH600731,湖南海利,1,600731
SH600729,重庆百货,1,600729
SH600720,祁连山,1,600720
SH600718,东软集团,1,600718
SH600706,曲江文旅,1,600706
SH600703,三安光电,1,600703
SH600702,舍得酒业,1,600702
SH600699,均胜电子,1,600699
SH600696,岩石股份,1,600696
SH600690,海尔智家,1,600690
SH600685,中船防务,1,600685
SH600682,南京新百,1,600682
SH600674,川投能源,1,600674
SH600673,东阳光,1,600673
SH600668,尖峰集团,1,600668
SH600663,陆家嘴,1,600663
SH600661,昂立教育,1,600661
SH600660,福耀玻璃,1,600660
SH600641,万业企业,1,600641
SH600636,国新文化,1,600636
SH600633,浙数文化,1,600633
SH600621,华鑫股份,1,600621
SH600613,神奇制药,1,600613
SH600612,老凤祥,1,600612
SH600610,中毅达,1,600610
SH600603,广汇物流,1,600603
SH600602,云赛智联,1,600602
SH600600,青岛啤酒,1,600600
SH600599,ST熊猫,1,600599
SH600598,北大荒,1,600598
SH600597,光明乳业,1,600597
SH600596,新安股份,1,600596
SH600593,大连圣亚,1,600593
SH600588,用友网络,1,600588
SH600587,新华医疗,1,600587
SH600586,金晶科技,1,600586
SH600585,海螺水泥,1,600585
SH600584,长电科技,1,600584
SH600580,卧龙电驱,1,600580
SH600573,惠泉啤酒,1,600573
SH600571,信雅达,1,600571
SH600570,恒生电子,1,600570
SH600566,济川药业,1,600566
SH600563,法拉电子,1,600563
SH600562,国睿科技,1,600562
SH600559,老白干酒,1,600559
SH600557,康缘药业,1,600557
SH600552,凯盛科技,1,600552
SH600549,厦门钨业,1,600549
SH600547,山东黄金,1,600547
SH600546,山煤国际,1,600546
SH600536,中国软件,1,600536
SH600535,天士力,1,600535
SH600532,*ST未来,1,600532
SH600529,山东药玻,1,600529
SH600523,贵航股份,1,600523
SH600522,中天科技,1,600522
SH600521,华海药业,1,600521
SH600520,文一科技,1,600520
SH600519,贵州茅台,1,600519
SH600511,国药股份,1,600511
SH600508,上海能源,1,600508
SH600506,香梨股份,1,600506
SH600499,科达制造,1,600499
SH600489,中金黄金,1,600489
SH600487,亨通光电,1,600487
SH600486,扬农化工,1,600486
SH600483,福能股份,1,600483
SH600481,双良节能,1,600481
SH600479,千金药业,1,600479
SH600478,科力远,1,600478
SH600476,湘邮科技,1,600476
SH600460,士兰微,1,600460
SH600459,贵研铂业,1,600459
SH600458,时代新材,1,600458
SH600456,宝钛股份,1,600456
SH600455,博通股份,1,600455
